file,success,failure,forbidden error,not_foundmoved_permanently,moved_permanently,found,not_modified
"""GET /phpMyAdmin/js/shortcuts_handler.js?v=4.8.3 HTTP/1.1"" 200 3264 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/codemirror/lib/codemirror.js?v=4.8.3 HTTP/1.1"" 200 373234 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/codemirror/mode/sql/sql.js?v=4.8.3 HTTP/1.1"" 200 45323 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/codemirror/addon/runmode/runmode.js?v=4.8.3 HTTP/1.1"" 200 2499 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/codemirror/addon/hint/show-hint.js?v=4.8.3 HTTP/1.1"" 200 15909 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/codemirror/addon/hint/sql-hint.js?v=4.8.3 HTTP/1.1"" 200 9148 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/codemirror/addon/lint/sql-lint.js?v=4.8.3 HTTP/1.1"" 200 1048 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/codemirror/addon/lint/lint.js?v=4.8.3 HTTP/1.1"" 200 8609 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/console.js?v=4.8.3 HTTP/1.1"" 200 57278 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/themes/pmahomme/img/logo_right.png HTTP/1.1"" 200 4306 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/themes/dot.gif HTTP/1.1"" 200 43 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/favicon.ico HTTP/1.1"" 200 22486 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/themes/pmahomme/img/b_help.png HTTP/1.1"" 200 705 ""-""",1,0,0,0,0,0,0
